adult,title,genres,id,original_language,popularity,production_companies,vote_average,vote_count,
1,Minions,Family,211672,en,547.488298,Pictures,6.4,4729,1
0,Wonder Woman,Action,297762,en,294.337037,Dune Entertainment,7.2,5025,2
0,Beauty and the Beast,Family,321612,en,287.253654,Walt Disney Pictures,6.8,5530,0
0,Baby Driver,Action,339403,en,228.032744,Big Talk Productions,7.2,2083,3
1,Big Hero 6,Adventure,177572,en,213.849907,Walt Disney Pictures,7.8,6289,3
0,Deadpool,Action,293660,en,187.860492,Twentieth Century Fox Film Corporation,7.4,11444,1
1,Guardians of the Galaxy Vol.2,Action,283995,en,185.330992, Walt Disney Pictures,7.6,4858,2
0,Avatar,Action,19995,en,185.070892,Ingenious Film Partners,7.2,12114,0
1,John Wick,Action,245891,en,183.870374,Summit Entertainment,7,5499,3
1,Gone Girl,Mystery,210577,en,154.801009,Twentieth Century Fox Film Corporation,7.9,6023,2
0,The Hunger Games: Mockingjay - Part 1,Science Fiction,131631,en,147.098006,Lionsgate,6.6,5767,1
0,War for the Planet of the Apes,Drama,281338,en,146.161786, Chernin Entertainment,6.7,1675,3
0,Captain America: Civil War,Adventure,271110,en,145.882135, Studio Babelsberg,7.1,7462,1
0,Pulp Fiction,Thriller,680,en,140.950236,Miramax Films,8.3,8670,2
0,Pirates of the Caribbean: Dead Men Tell No Tales, Adventure,166426,en,133.82782,Walt Disney Pictures,6.6,2814,3
0,The Dark Knight,Drama,155,en,123.167259,DC Comics,8.3,12269,1
0,Blade Runner,Science Fiction,78,en,96.272374,Shaw Brothers,7.9,3833,0
0,The Avengers,Science Fiction,24428,en,89.887648,Paramount Pictures,7.4,12000,0
0,Captain Underpants: The First Epic Movie,Action,268531,en,88.561239,DreamWorks Animation',6.5,159,3
0,The Circle,Drama,339988,en,88.439243,Likely Story,5.4,1015,4
0,The Bad Batch,Thriller,316154,en,78.8072,Annapurna Pictures,5.3,160,1
0,The Maze Runner,Action,198663,en,76.93789,Ingenious Media,7,5540,1
0,Dawn of the Planet of the Apes,Science Fiction,119450,en,75.385211,Ingenious Media,7.3,4511,2
1,Alien: Covenant,Horror,126889,en,72.884078,Twentieth Century Fox Film Corporation,5.7,2677,3
1,Ghost in the Shell,Action,315837,en,68.726676,Paramount Picture,5.9,2547,3
0,Boyka: Undisputed IV,Thriller,348893,en,67.955052,Nu Boyana Viburno,5.8,333,2
0,Whiplash,Drama,244786,en,64.29999,Bold Films,8.3,4376,1
0,Fight Club,Drama,550,en,63.869599,Twentieth Century Fox Film Corporation,8.3,9678,1
0,What Happened to Monday,Science Fiction,406990,en,60.581223, Vendome Pictures,7.3,598,1
0,Wish Upon,Fantasy,440597,en,59.578823,Broad Green Pictures,5.3,127,
0,Thor: Ragnarok,Action,284053,en,57.283628,Walt Disney Pictures,6.7,456,
0,Logan,Action,263115,en,54.581997,Twentieth Century Fox Film Corporation,7.6,6310,
1,Guardians of the Galaxy,Action,118340,en,53.291601,Marvel Studios,7.9,10014,
0,47 Meters Down,Drama,403119,en,52.854103,Dimension Films,5.1,548,
1,The Shawshank Redemption,Drama,278,en,51.645403,Castle Rock Entertainment,8.5,8358,
1,The Last King,Action,360249,no,50.949523,Newgrange Pictures,5.2,47,
0,The Dark Tower,Action,353491,en,50.903593,Imagine Entertainment,5.7,688,
0,John Wick: Chapter 2,Thriller,324552,en,49.247505,Thunder Road Pictures,6.7,2924,
0,The Fate of the Furious,Action,337339,en,48.573287,Universal Pictures,6.8,3803,
0,Forrest Gump,Comedy,13,en,48.307194,Paramount Pictures,8.2,8147,
1,Pirates of the Caribbean: The Curse of the Black Pearl, Adventure,22,en,47.326665,Walt Disney Pictures,7.5,7191,
0,Security,Action,460846,en,47.114366,Nu Image/Millennium Films,6,113,
0,The Legend of Tarzan,Action,258489,en,45.38298,Village Roadshow Pictures,5.5,2488,
0,King Arthur: Legend of the Sword,Action,274857,en,44.251369, Village Roadshow Pictures,6.5,1506,
0,Doctor Strange,Action,284052,en,43.847654,Walt Disney Pictures,7.1,5880,
0,Suicide Squad,Action,297761,en,42.965027,DC Comics,5.9,7717,
0,Star Wars,Adventure,11,en,42.149697,Lucasfilm,8.1,6778,
1,Ted 2,Comedy,214756,en,42.061481,Universal Pictures,6.2,2524,
1,Schindler's List,Drama,424,en,41.725123,Universal Pictures,8.3,4436,
0,Rise of the Planet of the Apes,Thriller,61791,en,41.613762, 'Ingenious Film Partners,7,4452,
0,Maze Runner: The Scorch Trials,Action,294254,en,41.225769, Gotham Group,6.5,3148,
1,The Godfather,Drama,238,en,41.109264,Paramount Pictures,8.5,6024,
1,Fantastic Beasts and Where to Find Them, Adventure,259316,en,41.051421,Heyday films,7.2,5612,
0,Spirited Away,Fantasy,129,ja,41.048867,Studio Ghibli,8.3,3968,
0,Wind River,Action,395834,en,40.796775,Thunder Road Pictures,7.4,181,
0,Now You See Me 2,Action,291805,en,39.540653,Summit Entertainment,6.7,3362,
0,Life Is Beautiful,Comedy,637,it,39.39497,Miramax Films,8.3,3643,
0,Transformers: The Last Knight,Action,335988,en,39.186819, 'Paramount Pictures,6.2,1440,
0,Before I Fall,Mystery,397837,en,38.995136,Jon Shestack Productions,6.8,651,
0,Harry Potter and the Philosopher's Stone,  Adventure,671,en,38.187238,1492 Pictures,7.5,7188,
0,Girls Trip,Comedy,417870,en,37.964872,Universal Pictures,7.1,393,
0,Avengers: Age of Ultron,Action,99861,en,37.37942,Marvel Studios,7.3,6908,
1,Get Out,Mystery,419430,en,36.894806,Blumhouse Productions,7.2,2978,
0,Psycho,Drama,539,en,36.826309,Paramount Pictures,8.3,2405,
0,Fury,War,228150,en,36.713807,Columbia Pictures,7.4,4028,
0,Despicable Me 3,Action,324852,en,36.631519,Illumination Entertainment,6.2,2002,
0,The Godfather: Part II,Drama,240,en,36.629307,Paramount Pictures,8.3,3418,
0,Rogue One: A Star Wars Story,Action,330459,en,36.567575, Lucasfilm,7.4,5111,
1,Lucy,Action,240832,en,36.447603,Universal Pictures,6.3,6048,
0,Life,Horror,395992,en,36.263803,Columbia Pictures,6.3,1959,
0,Miss Peregrine's Home for Peculiar Children,  Drama,283366,en,36.262655,Ingenious Media,6.5,3213,
0,The Beguiled,Drama,399019,en,36.26051,American Zoetrope,5.8,279,
1,Operation Mekong,Action,415214,zh,35.972581,American Zoetrope,6.8,30,
0,Baywatch,Action,339846,en,35.637691,Paramount Pictures,6.1,1829,
0,One Flew Over the Cuckoo's Nest,Drama,510,en,35.529554,United Artists,8.3,3001,
1,Thor: The Dark World,Action,76338,en,34.905447,Marvel Studios,6.8,4873,
0,A Silent Voice,Animation,378064,ja,34.852055,Kyoto Animation,8.1,157,
0,Your Name.,Romance,372058,ja,34.461252,CoMix Wave Films,8.5,1030,
0,Dilwale Dulhania Le Jayenge,Comedy,19404,hi,34.457024,Yash Raj Films,9.1,661,
0,Me Before You,Drama,296096,en,34.34759,New Line Cinema,7.6,2674,
0,The Mother of Tears,Horror,15206,it,34.145916,Myriad Pictures,4.1,135,
0,The Twilight Saga: Eclipse,Adventure,24021,en,34.047399,Summit Entertainment,5.9,2382,
0,Pacific Rim,Action,68726,en,33.949359,Legendary Pictures,6.7,4903,
0,The Mummy,Thriller,282035,en,33.704935,Universal Pictures,5.4,2122,
0,The Emoji Movie,Comedy,378236,en,33.694599,Columbia Pictures,5.8,327,
1,Rescue Under Fire,War,437031,es,33.536359,Tornasol Films,6.1,17,
0,Creed,Drama,312221,en,33.449723,New Line Cinema,7.3,1963,
0,The Matrix,Action,603,en,33.366332,Village Roadshow Pictures,7.9,9079,
0,Fifty Shades of Grey,Drama,216015,en,33.068431,Focus Features,5.2,3350,
1,Jurassic World,Action,135397,en,32.790475,Universal Studios,6.5,8842,
0,Interstellar,Adventure,157336,en,32.213481,Paramount Pictures,8.1,11187,
0,Once Upon a Time in America,Drama,311,en,32.182851,Warner Bros.,8.3,1104,
0,The Lord of the Rings: The Fellowship of the Ring, Adventure,120,en,32.070725,WingNut Films,8,8892,
0,Edge of Tomorrow,Action,137113,en,31.982986,Village Roadshow Pictures,7.6,4979,
0,The Autopsy of Jane Doe,Horror,397243,en,31.772396,IM Global,6.3,799,
0,The Hobbit: The Battle of the Five Armies,  Action,122917,en,31.718977,WingNut Films,7.1,4884,
0,Star Wars: The Force Awakens,Action,140607,en,31.626013, Lucasfilm,7.5,7993,
0,The Imitation Game,History,205596,en,31.59594,Black Bear Pictures,8,5895,
1,Batman v Superman: Dawn of Justice,  action,209112,en,31.435879,DC Comics,5.7,7189,
1,Pirates of the Caribbean: At World's End,  Aventure,285,en,31.363664,Walt Disney Pictures,6.9,4627,
0,Collide,Thriller,195590,en,31.314013,Silver Pictures,5.5,164,
0,Twilight,Aventure,8966,en,31.282029,Summit Entertainment,5.8,3688,
0,The Amazing Spider-Man,Action,1930,en,31.102267,Columbia Pictures,6.5,6734,
1,Dunkirk,Action,374720,en,30.938854,Canal+',7.5,2712,
0,Arrival,Thriller,329865,en,30.83786,Paramount Pictures,7.2,5729,
0,12 Years a Slave,Drama,76203,en,30.316249,Plan B Entertainment,7.9,3787,
0,Chappie,Crime,198184,en,30.206365,Columbia Pictures,6.6,3124,
0,Terminator Genisys,Science Ficton',87101,en,30.188198, Paramount Pictures,5.8,3677,
1,The House,Comedy,345914,en,30.146847,New Line Cinema,5.9,91,
0,The Twilight Saga: New Moon,Adventure,18239,en,30.121292, Summit Entertainment,5.6,2518,
1,Harry Potter and the Chamber of Secrets, Adventure,672,en,29.741452,1492 Pictures,7.4,5966,
1,Pirates of the Caribbean: Dead Man's Chest,  Adventure,58,en,29.455314,Walt Disney Pictures,7,5380,
0,Kong: Skull Island,Action,293167,en,29.429112,Legendary Pictures,6.2,3161,
0,The Lord of the Rings: The Two Towers,  Adventure,121,en,29.423537,WingNut Films,8,7641,
1,Spider-Man,Fantasy,557,en,29.413341,Columbia Pictures,6.8,5398,
1,Mad Max: Fury Road,Action,76341,en,29.36178,Village Roadshow Pictures,7.3,9629,
0,The Lord of the Rings: The Return of the King,  Adventure,122,en,29.324358,WingNut Films,8.1,8226,
0,Thor,Adventure,10195,en,29.158489,Marvel Studios,6.6,6678,
0,Fifty Shades Darker,Drama,341174,en,29.130443,Universal Pictures,6,2341,
1,Inception,Action,27205,en,29.108149,Legendary Pictures,8.1,14075,
0,Split,Horror,381288,en,28.920839, Universal Pictures,7,4461,
1,X-Men:Apocalypse,Science Ficton,246655,en,28.712522,Twentieth Century Fox Film Corporation,6.4,4831,
0,Batman Begins,Action,272,en,28.505341,DC Comics,7.5,7511,
0,Harry Potter and the Prisoner of Azkaban, Adventure,673,en,28.460276,1492 Pictures,7.7,6037,
0,The Saint,Action,463906,en,28.23593,1492 Pictures,5.8,41,
1,Kingsman: The Secret Service,Crime,207703,en,28.224212, Twentieth Century Fox Film Corporation,7.6,6069,
0,Diary of a Wimpy Kid: The Long Haul, Comedy,417830,en,28.176992,Twentieth Century Fox,6.1,48,
0,Pirates of the Caribbean: On Stranger Tides, Adventure,1865,en,27.88772,Walt Disney Pictures,6.4,5068,
0,Insurgent,Adventure,262500,en,27.887186,Summit Entertainment,6.2,3921,
1,The Purge: Anarchy,Horror,238636,en,27.756026,Universal Pictures,6.6,2008,
1,Spider-Man 3,Fantasy,559,en,27.614265,Columbia Pictures,5.9,3687,
0,Assassin's Creed,Action,121856,en,27.54107,Regency Enterprises,5.4,2776,
0,Sex Tape,Comedy,225886,en,27.470696,Escape Artists,5.2,1733,
0,Furious 7,Action,168259,en,27.275687,Universal Pictures,7.3,4253,
0,Dark Skies,Science Ficton,145135,en,26.972326,Alliance Films,6.1,668,
0,Titanic,Drama,597,en,26.88907,Paramount Pictures,7.5,7770,
0,Ant-Man,Science Fiction,102899,en,26.882388,Marvel Studios,7,6029,
0,Pan's Labyrinth,Fantasy,1417,es,26.817754,Estudios Picasso,7.6,3122,
1,The Hunger Games: Mockingjay - Part 2, Action,131634,en,26.628178,Studio Babelsberg,6.6,4117,
